question,label
Top inflation years since 2000.,ranking
Rank unemployment years from lowest to highest.,ranking
Which periods had the strongest payroll growth?,ranking
List the highest CPI periods.,ranking
Rank the lowest unemployment years since 2010.,ranking
Rank the highest inflation periods since 2020.,ranking
Show the bottom 10 GDP years.,ranking
What are the top 5 federal funds rate years?,ranking
List the lowest payroll growth periods.,ranking
Which years had the smallest unemployment averages?,ranking
Rank CPI years by average value.,ranking
Show the highest unemployment months after 2020.,ranking
Which periods had the lowest interest rates?,ranking
Rank GDP quarters from highest to lowest.,ranking
List the top 10 years for inflation.,ranking
What were the highest average unemployment years since 2000?,ranking
Rank payroll employment years by average level.,ranking
Which years had the lowest CPI values?,ranking
Show the highest federal funds rate months.,ranking
Rank unemployment periods by average rate.,ranking
What are the lowest GDP periods in the dataset?,ranking
List the strongest payroll years since 2015.,ranking
Which years ranked highest for CPI?,ranking
Rank the worst unemployment years since 2010.,ranking
Show the top years for GDP levels.,ranking
Which months had the lowest unemployment?,ranking
Rank inflation periods from highest to lowest.,ranking
Show the bottom 5 federal funds rate years.,ranking
Which years had the strongest employment levels?,ranking
Rank the largest CPI periods.,ranking
What are the highest payroll months?,ranking
List the lowest unemployment years after 2015.,ranking
Rank GDP periods by average value.,ranking
Which years had the highest average federal funds rate?,ranking
Show the top 3 unemployment years.,ranking
What are the lowest inflation months?,ranking
Rank the best unemployment years since 2010.,ranking
List the highest interest rate periods after 2020.,ranking
Which years had the highest payroll employment?,ranking
Rank CPI periods from lowest to highest.,ranking
Show the highest average unemployment periods.,ranking
What were the lowest federal funds rate months?,ranking
Rank the top 10 GDP quarters.,ranking
Which periods had the largest average CPI?,ranking
Which years had the most unemployment volatility?,volatility
Show periods with the highest inflation variability.,volatility
When was GDP growth most unstable?,volatility
Analyze volatility in payroll growth.,volatility
Which periods had the largest unemployment swings?,volatility
Find the most variable inflation years.,volatility
What years showed the greatest fluctuations in interest rates?,volatility
Which decades had the highest unemployment variance?,volatility
Identify unstable inflation periods.,volatility
Which periods had the largest month-to-month unemployment changes?,volatility
Show the most volatile CPI years.,volatility
Which years had the highest standard deviation in unemployment?,volatility
Find the largest swings in federal funds rate.,volatility
Analyze variation in GDP over time.,volatility
What periods had the most payroll volatility?,volatility
Which years had the widest unemployment range?,volatility
Show inflation periods with the largest variance.,volatility
When did interest rates fluctuate the most?,volatility
Find the years with the largest CPI swings.,volatility
Which periods had unstable payroll employment?,volatility
Rank years by unemployment volatility.,volatility
Show the most variable GDP quarters.,volatility
Which years had the highest CPI standard deviation?,volatility
Find federal funds rate volatility since 2020.,volatility
Which periods had large month-to-month changes in CPI?,volatility
Analyze unemployment variance since 2010.,volatility
Show the largest payroll fluctuations after 2015.,volatility
What years had the biggest interest rate swings?,volatility
Identify periods of high GDP variability.,volatility
Which years had the largest unemployment range?,volatility
Find the most unstable unemployment years after 2020.,volatility
Show CPI volatility before and after 2020.,volatility
Which periods had the most variable federal funds rate?,volatility
Analyze monthly volatility in inflation.,volatility
What were the most volatile years for payroll employment?,volatility
Find the largest GDP fluctuations.,volatility
Which years had high variance in unemployment?,volatility
Show unstable interest rate periods.,volatility
Analyze the range of unemployment by year.,volatility
Which periods had the greatest inflation swings?,volatility
Show volatility in CPI after 2021.,volatility
What years had the largest payroll employment variation?,volatility
Find unemployment periods with high standard deviation.,volatility
Which periods had extreme interest rate movement?,volatility
Analyze variance in federal funds rate since 2015.,volatility
Show the most unstable GDP periods.,volatility
Which years had the greatest monthly unemployment changes?,volatility
Find the widest CPI ranges by year.,volatility
Rank inflation volatility since 2010.,volatility
Which years showed the strongest fluctuations in payrolls?,volatility
Is unemployment correlated with inflation?,correlation
Measure correlation between CPI and unemployment.,correlation
How related are payrolls and GDP?,correlation
Analyze the correlation between interest rates and unemployment.,correlation
Are inflation and federal funds rate correlated?,correlation
What is the relationship between GDP and payroll growth?,correlation
Compute correlation between unemployment and CPI.,correlation
How strongly are unemployment and interest rates associated?,correlation
Examine the relationship between GDP and inflation.,correlation
Is there a statistical relationship between payrolls and unemployment?,correlation
Calculate correlation between FEDFUNDS and CPI.,correlation
Are GDP and unemployment statistically associated?,correlation
Measure the correlation between payroll employment and inflation.,correlation
How related are CPI and federal funds rate?,correlation
Compute the association between GDP and PAYEMS.,correlation
Is unemployment negatively correlated with payrolls?,correlation
Analyze relationship between interest rates and inflation.,correlation
Check correlation between GDP and CPI.,correlation
How strongly related are unemployment and federal funds rate?,correlation
Find correlation between PAYEMS and UNRATE.,correlation
Are payrolls and CPI correlated over time?,correlation
Measure statistical association between GDP and unemployment.,correlation
Compute Pearson correlation for inflation and interest rates.,correlation
How related are federal funds rate and unemployment since 2020?,correlation
Examine correlation between CPI and GDP.,correlation
Is there a relationship between inflation and payrolls?,correlation
Calculate the correlation matrix for unemployment and CPI.,correlation
How strongly are GDP and payroll employment associated?,correlation
Are interest rates associated with CPI movements?,correlation
Check whether unemployment and inflation move together.,correlation
Measure correlation between PAYEMS and GDP.,correlation
Analyze association between unemployment and payroll growth.,correlation
Compute correlation between federal funds rate and GDP.,correlation
Is CPI statistically related to unemployment?,correlation
How associated are inflation and interest rates?,correlation
Find relationship between GDP and CPI since 2010.,correlation
Check correlation between unemployment and FEDFUNDS.,correlation
Are payrolls correlated with unemployment after 2020?,correlation
Compute statistical relationship between CPI and PAYEMS.,correlation
How related are interest rates and GDP?,correlation
Analyze correlation across economic indicators.,correlation
Is there a measurable association between inflation and unemployment?,correlation
Measure correlation between GDP and federal funds rate.,correlation
Check if CPI and interest rates are related.,correlation
Compute relationship between payroll employment and unemployment.,correlation
Are unemployment and GDP correlated?,correlation
How strong is the correlation between inflation and GDP?,correlation
Analyze statistical relationship between PAYEMS and CPI.,correlation
Measure the association between unemployment and interest rates.,correlation
"Compute correlations among UNRATE, CPIAUCSL, and FEDFUNDS.",correlation
Why did unemployment spike in 2020?,unsupported
Predict inflation next year.,unsupported
Should the Fed cut rates?,unsupported
What caused the rise in unemployment?,unsupported
Forecast GDP growth for 2027.,unsupported
What policy should reduce inflation?,unsupported
Will unemployment improve next year?,unsupported
Explain why payrolls dropped after COVID.,unsupported
Recommend actions to lower inflation.,unsupported
What will interest rates look like next year?,unsupported
Why did inflation increase after 2020?,unsupported
What caused GDP to fall?,unsupported
Should policymakers respond to unemployment?,unsupported
Predict the next recession using this data.,unsupported
Will CPI go down next year?,unsupported
What should businesses do about interest rates?,unsupported
Explain the cause of the federal funds rate increase.,unsupported
Forecast unemployment for 2028.,unsupported
Should I invest based on GDP trends?,unsupported
What caused payroll growth to slow?,unsupported
Why did CPI rise in 2021?,unsupported
Recommend a policy response to inflation.,unsupported
Will the labor market get stronger next year?,unsupported
What will GDP be in five years?,unsupported
Should the Fed raise rates?,unsupported
Explain why unemployment changed after COVID.,unsupported
Predict payroll employment next quarter.,unsupported
What caused interest rates to move?,unsupported
Should companies hire more workers?,unsupported
Will inflation keep falling?,unsupported
Forecast federal funds rate for next year.,unsupported
Why did GDP growth accelerate?,unsupported
What action should be taken to reduce unemployment?,unsupported
Explain the macroeconomic cause of CPI changes.,unsupported
Will payrolls recover next month?,unsupported
Should investors worry about inflation?,unsupported
What caused unemployment to decline?,unsupported
Predict CPI for 2030.,unsupported
Should the government intervene?,unsupported
Explain why interest rates were high.,unsupported
What will happen to unemployment in 2027?,unsupported
Recommend how to respond to GDP weakness.,unsupported
Why did payrolls change in 2020?,unsupported
Forecast inflation using CPI.,unsupported
Should the Fed change policy?,unsupported
What caused federal funds rate volatility?,unsupported
Will GDP grow faster next year?,unsupported
Explain the cause of payroll changes.,unsupported
What actions should lower unemployment?,unsupported
Predict the labor market outlook.,unsupported
